iter	Passed	Remaining
0	2	290
1	5	270
2	7	257
3	9	239
4	12	240
5	15	236
6	17	233
7	20	230
8	22	228
9	25	228
10	31	253
11	34	255
12	37	249
13	40	245
14	42	240
15	44	235
16	47	231
17	49	227
18	52	223
19	55	221
20	58	218
21	60	214
22	63	211
23	65	208
24	68	204
25	70	201
26	73	198
27	75	195
28	78	191
29	80	188
30	83	186
31	86	183
32	88	180
33	91	177
34	93	174
35	96	171
36	98	168
37	101	165
38	103	162
39	106	159
40	108	156
41	109	151
42	112	149
43	115	146
44	117	143
45	120	140
46	122	138
47	125	135
48	128	133
49	130	130
50	133	127
51	135	125
52	138	122
53	141	120
54	142	116
55	145	114
56	147	111
57	150	108
58	152	106
59	155	103
60	157	101
61	160	98
62	163	95
63	166	93
64	168	90
65	171	88
66	173	85
67	176	82
68	178	80
69	181	77
70	183	74
71	186	72
72	188	69
73	190	67
74	193	64
75	196	61
76	198	59
77	201	56
78	203	54
79	206	51
80	208	48
81	211	46
82	213	43
83	215	41
84	218	38
85	221	35
86	223	33
87	226	30
88	228	28
89	231	25
90	233	23
91	235	20
92	238	17
93	241	15
94	244	12
95	246	10
96	249	7
97	251	5
98	254	2
99	256	0
